track,artist
Mame,Herb Alpert & The Tijuana Brass
Maily's Abduction,Jerry Goldsmith
Come On And See Me,Tammi Terrell
Soul Serenade,Willie Mitchell
Doggin' Around,Jackie Wilson
I Got You Babe,Sonny & Cher
My Lover's Prayer,Otis Redding
Joy to the World - Remastered 1997,George Frideric Handel
Monster Jerk,Don Hinson & The Rigamorticians
La Luna Siempre Es Muy Linda,Victor Jara
You Don't Own Me,Lesley Gore
Pop Pop Pop - Pie,The Sherrys
Over Under Sideways Down,The Yardbirds
"Jane, Jane, Jane",The Kingston Trio
Little Red Rented Rowboat,Joe Dowell
Gravy (With Some Cyanide),John Zacherle
Ennai Padavaithavan Oruvan,P. Susheela
At The Scene,The Dave Clark Five
El Testament d'Amelia,Traditional
Men Are Gettin' Scarce,Joe Tex
No Good To Cry,The Wildweeds
Tone the Bell Easy,Harry Belafonte
Hold Me Tight,Johnny Nash
"Der Waffenschmied: Akt I - ""Bringt eilig Hut und Mantel mir!""",Staatskapelle Berlin
Guantanamera,Celia Cruz
Bataille,André Hossein
Penny Lane,The Beatles
Try A Little Kindness,Glen Campbell
Ling-Ting-Tong,Buddy Knox
For As Long As We Need You,Maurice Jarre
How Could I Be Such A Fool,Frank Zappa
O World / Morning Worship / Prophet,Mark Van Doren
"Rigoletto [Acts II & III]: Un dì, se ben rammentomi (Duke, Gilda, Maddalena, Rigoletto)",Giuseppe Verdi
"Lara's Theme from ""Dr. Zhivago""",Roger Williams
Tosca (Sung in German): Act I: Ha! Das gelang mir! (Angelotti),Giacomo Puccini
Sprit's Song,Louise Bogan
Testify (I Wonna),Johnnie Taylor
There's No Living Without Your Loving,Peter And Gordon
Blue Moon,The Ventures
You've Made Me So Very Happy,Brenda Holloway
She's A Lady,John Sebastian
If I Ruled The World,Tony Bennett
"I'm Henry VIII, I Am",Herman's Hermits
Little Queenie,Bill Black's Combo
Sleepy Joe,Herman's Hermits
"Carmen: Act II - ""Sag, wen erwartest du?""",Leipzig Radio Symphony Orchestra
Mis Blues,Krokodil
Shake A Tail Feather,James & Bobby Purify
Mickey's Son And Daughter - 2007 Remastered Version,The Bonzo Dog Band
All Green,Xhol Caravan
Gee,The Pixies Three
Help Yourself (To All Of My Lovin'),James & Bobby Purify
Viva Mi Desgracia,Vicente Fernández
Saladino 7,Angelo Francesco Lavagnino
Ahir (Diguem No). Bis - En Directe,Raimon
"L'Elisir d'amore, 'Elixir of Love' (1988 Digital Remaster), Act I: Signor sargente",Gaetano Donizetti
