track,artist
Turiya,Alice Coltrane
La bohème,Charles Aznavour
Long Green,The Fireballs
Searchin',Ace Cannon
"Main Titles and Calvera's Visit (From ""The Magnificient Seven"")",Elmer Bernstein
I Can Take Or Leave Your Loving,Herman's Hermits
Sweet Talkin' Guy,The Chiffons
Nobody's Baby Again,Dean Martin
Look Over Your Shoulder,The O'Jays
Portrait Of My Love,The Tokens
Lua Linda,I Marc 4
Ramaswami,P. Susheela
La Cançó de la Mare. He Deixat Ma Mare,Raimon
Yuri Is Trying To Write,Maurice Jarre
At Last,Etta James
Joy to the World,Traditional
I Started A Joke,Bee Gees
Respectable,The Outsiders
Hound Dog Man,Fabian
Dead Man's Curve,Jan & Dean
Action,Freddy Cannon
When Something Is Wrong With My Baby,Sam & Dave
Sacrificado,Javier Solís
Do You Love Me,The Contours
A Million To One,Brian Hyland
Je m'voyais déjà,Charles Aznavour
Groovin',The Young Rascals
Dum Dum,Brenda Lee
Zig Zag Wanderer - Mono,Captain Beefheart & His Magic Band
"Tosca (Sung in German): Act II: Starker ist der Genuss noch - Spoletta wartet (Scarpia, Sciarrone, Spoletta)",Giacomo Puccini
Jenny Brown,The Smothers Brothers
Lovey Dovey,Buddy Knox
Time For Livin',The Association
This Little Bird,Marianne Faithfull
Gentle On My Mind,Patti Page
I Wanna Be Your Dog (Alternate Vocal) - 2019 Remaster,The Stooges
Yuri and the Daffodils (Lara's Theme),Maurice Jarre
"Tosca (Sung in German): Act II: Im Brunnen bei der Villa! geh, Spoletta - Neuigkeiten, Euer Gnaden! - Viktoria! (Scarpia, Sciarrone, Cavaradossi, Tosca)",Giacomo Puccini
Jailhouse Rock,Jeff Beck
Time Is On My Side,The Rolling Stones
O Velho,Chico Buarque
Keep Your Hands Off Of Him,Damita Jo
All I Have To Offer You (Is Me),Charley Pride
People Sure Act Funny,Arthur Conley
Baby Don't You Weep,Garnet Mimms & The Enchanters
The Cajun Queen,Jimmy Dean
Everybody Loves Somebody,Dean Martin
It's All Over Now,The Rolling Stones
We're Doing Fine,Dee Dee Warwick
You'll Lose A Good Thing,Barbara Lynn
My Mammy,The Happenings
Next Door To An Angel,Neil Sedaka
Oh Mahadeva,P. Susheela
King Kong Itself (as played by the Mothers in a studio),Frank Zappa
Can't You See That She's Mine,The Dave Clark Five
Sugar On Sunday,The Clique
"Look Out, There's A Monster Coming - 2007 Remastered Version",The Bonzo Dog Band
"Tosca (Sung in German): Act II: Welche Route nehmt Ihr? (Scarpia, Tosca)",Giacomo Puccini
Try to Remember,Harry Belafonte
Silver Threads And Golden Needles,Jody Miller
Alone At Last,Jackie Wilson
Hope For Happiness - Reprise,Soft Machine
Wooden Heart,Joe Dowell
The Weight,The Band
Por Las Calles De México,La Sonora Santanera
You Were Only Fooling (While I Was Falling In Love),Vic Damone
What's Your Name,Don & Juan
L'amitié,Françoise Hardy
A Média Luz (A Meia Luz),Nelson Gonçalves
Bama Lama Bama Loo,Little Richard
Zé do Encantado,MPB4
Chain Gang,Sam Cooke
Garota Moderna,Garoto
Rigoletto: Act I: Gran nuova! gran nuova!,Giuseppe Verdi
Movimento Da Cidade,Ary Lobo
Under Your Spell Again,Johnny Rivers
(I'm Just A) Fool For You,Gene Chandler
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow
Tonight I Fell In Love,The Tokens
Stop! Look What You're Doing,Carla Thomas
Historia de Vampiros,Joan Manuel Serrat
If You've Got A Heart,Bobby Goldsboro
Hang On Sloopy,Ramsey Lewis Trio
Tumba Coco,Coco Lagos y Sus Orates
Mon amie la rose,Françoise Hardy
A Must To Avoid,Herman's Hermits
"Hello, Dolly!",Bobby Darin
"Madama Butterfly, Act II: Io so che alle sue pene (Suzuki, Sharpless, Pinkerton)",Giacomo Puccini
Flower Punk,Frank Zappa
Little Umbrellas,Frank Zappa
"Dominica Quarta Adventus. Alleluia, Veni, Domine, III Mode",Traditional
Etude pour une fin du monde,Klaus Schulze
"Serenade in C Major, Op. 48, TH 48: II. Walzer",Pyotr Ilyich Tchaikovsky
Benedicta Es Tu,Traditional
"Nocturnes, Op. 48: No. 1 in C Minor",Frédéric Chopin
Bad Moon Rising,Creedence Clearwater Revival
My Daddy Knows Best,The Marvelettes
Abigail Beecher,Freddy Cannon
Helena,Joan Manuel Serrat
Heartbreak Hotel,Roger Miller
I'm Gonna Be Strong,Gene Pitney
Please Don't Go,Ral Donner
"Sweet, Sweet Lovin'",The Platters
En Coulliure,Joan Manuel Serrat
Go Cry On Somebody Else's Shoulder,Frank Zappa
Necélia,Canhoto
Gilded Lamp of the Cosmos,Ultimate Spinach
Choice Of Colors,The Impressions
The First Noël,Traditional
Paper Roses,Anita Bryant
A Letter To The Beatles,The Four Preps
"In Like Flint: Westward Ho - From ""In Like Flint""",Jerry Goldsmith
"Madama Butterfly (1986 - Remaster), Act I: Ieri son salita tutta sola (Butterfly/Goro/Il Commissario/Coro/Sharpless/Ufficiale del Registro/Pinkerton)",Giacomo Puccini
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles
Let A Man Come In And Do The Popcorn (Part Two),James Brown
All These Things,The Uniques
There Was A Time,Gene Chandler
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson
10 Little Bottles,Johnny Bond
Symphony in C Major: IV - Allegro vivace,National Philharmonic Orchestra
El Carretero,Victor Jara
Minnal Varum,P. Susheela
Where Do You Go To (My Lovely),Peter Sarstedt
Prayer of Thanksgiving,Traditional
En El Balcón,Tito Rodriguez
I'm A Telling You,Jerry Butler
Walking To New Orleans,Fats Domino
"The Feather (From ""Teatihuacan Suite"")",Gerald Wilson Orchestra
Uccidi o muori (seq.22),Carlo Rustichelli
"O Come, O Come, Emanuel - Vocal",Traditional
Wait Til' My Bobby Gets Home,Darlene Love
Baião Da Vassoura,Ary Lobo
Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole
We're Jungle Creatures,John Barry
My Dearest Darling,Etta James
Moliendo Café,Javier Solís
Ta Ta,Clyde McPhatter
Main Title,Maurice Jarre
Don't Make The Good Girls Go Bad,Della Humphrey
La résignation,Vladimir Cosma
Cantarem la Vida - En Directe,Raimon
I Want To Be With You,Dee Dee Warwick
Repel Boarders,Jerry Goldsmith
Le plus beau des jeux,Johnny Hallyday
And Get Away,The Esquires
Laughing Boy,Randy Newman
Show Me,Joe Tex
Swings and Strings,Syd Dale
Theme From Dixie,Duane Eddy
Soul Man,Sam & Dave
My Melancholy Baby,The Marcels
Lover Please,Clyde McPhatter
The Joker Went Wild,Brian Hyland
High On Love,The Knickerbockers
Mare delle Baleari - Quasi valzer 2 version,Benedetto Ghiglia
"Ahh, Yer Father's Bob-Lip",Jerry Goldsmith
La noce en fuite,Vladimir Cosma
The Flight of the Bumble-Bee,Nikolai Rimsky-Korsakov
Recuerdos de Ipacarai,Javier Solís
Voy Bien o Me Regreso,Los Teen Tops
And Then I Woke Up,Klaus Schulze
My Man,Barbra Streisand
Who Can I Turn To (When Nobody Needs Me),Tony Bennett
"Help, I'm A Rock",Frank Zappa
There Will Never Be Another You,Chris Montez
Then He Kissed Me,The Crystals
Don't Deceive Me,Ruth Brown
California Sun,The Rivieras
Back In Love Again,The Buckinghams
Pop Goes The Weasel,Anthony Newley
Il Cielo In Una Stanza,Jerry Adriani
Sound Asleep,The Turtles
Undun,The Guess Who
Saturday Night,The New Christy Minstrels
Dindi,Antônio Carlos Jobim
A Pobreza (Paixão Proibida),Leño
"Cavalleria rusticana: ""O lola ch'ai di latti la cammisa"" (Siciliana)",Pietro Mascagni
Your Last Goodbye,Floyd Cramer
Yes Indeed,Pete Fountain
You're No Good,Betty Everett
Forever And A Day,Jackie Wilson
Un peu comme toi,Joe Dassin
Loan Me a Dime,Boz Scaggs
Even The Bad Times Are Good,The Tremeloes
Monk's Mood,Georges Arvanitas
Soul Serenade,King Curtis
Everybody's Somebody's Fool,Connie Francis
Cactus Tree,Joni Mitchell
Big Wide World,Teddy Randazzo
Reflections,Diana Ross & The Supremes
Sonaremos El Tambó,Tito Puente
The Twelve Days of Christmas,Traditional
Light Green,Maynard Ferguson
Happy,Paul Anka
I Got To Handle It,The Capitols
Since I Met You Baby,Bobby Vee
Down a Country Lane,Aaron Copland
Happy Walking,Johnny Pearson
J. S. Bach: Christ lag in Todesbanden BWV 4/Kantate am Osterfest/1. Sinfonia,Gewandhausorchester Leipzig
Santy Anna,Traditional
Aguiti - Remastered,Lord Invader
Denise,Randy & The Rainbows
Mostra Dei Gioielli,Ennio Morricone
Body And Soul,Charles Mingus
Appalachian Spring: I. Very Slowly,Aaron Copland
The Man From U.N.C.L.E.,Jerry Goldsmith
Am I That Easy To Forget,Debbie Reynolds
You Can't Do That,The Beatles
Eu Não Existo Sem Você,Leño
"Qui est 'In"", qui est ""Out""",Serge Gainsbourg
That's When It Hurts,Ben E. King
Amen,Harry Belafonte
"None but the lonely heart, Op. 6, No. 6",Pyotr Ilyich Tchaikovsky
Almost Persuaded No. 2,Ben Colder
La madrague,Brigitte Bardot
I'll Take You Home,The Drifters
Why Pick On Me,The Standells
West Side Story: Act I: Prologue,Leonard Bernstein
At the Hospital,Maurice Jarre
Land Of 1000 Dances,Wilson Pickett
Turn On A Dream,The Box Tops
All I Really Want To Do,Cher
Alfie,Dionne Warwick
Hey Jude,Wilson Pickett
This Is All I Ask,Tony Bennett
"Baubles, Bangles And Beads",Antônio Carlos Jobim
Little Hands,Alexander 'Skip' Spence
The Return Of The Red Baron,The Royal Guardsmen
You Beat Me To The Punch,Mary Wells
All About My Girl,Jimmy McGriff
Rozprawa o robokach,Silna Grupa Pod Wezwaniem
Coisinha Estúpida (Something Stupid),Leno e Lilian
Ruega por Nosotros,La Lupe
Double Trouble,The Paul Butterfield Blues Band
Your Good Thing (Is About To End),Lou Rawls
Decisão (Amor de Carnaval),Gilberto Gil
Parlez-moi de lui - Remasterisé en 2016,Françoise Hardy
Here I Go Again,Smokey Robinson & The Miracles
When Will I Be Loved,The Everly Brothers
Rhythm,Major Lance
The Men In My Little Girl's Life,Mike Douglas
Everyday People,Sly & The Family Stone
The Beat Goes On,Sonny & Cher
Onde Eu Nasci Passa Um Rio,Gal Costa
My Babe,Ronnie Dove
Red Roses For A Blue Lady,Vic Dana
Six Miles Next Door - Remastered,Yusef Lateef
A Symphony For Susan,The Arbors
You Don't Know What You Mean To Me,Sam & Dave
Round Trip,Ornette Coleman
Pega Ladrão - Versão remasterizada,Roberto Carlos
The Trio,Ennio Morricone
The Little Drummer Boy,Johnny Cash
"Li'l Darlin' - Live At Maty's On The Hill, Los Angeles, CA / 1967",Gerald Wilson Orchestra
Ghetto Funk,Ike Turner & The Kings Of Rhythm
Brass Buttons,The String-A-Longs
"Sweet Cream Ladies, Forward March",The Box Tops
Polk Salad Annie,Tony Joe White
You Don't Know Like I Know,Sam & Dave
Your Old Stand By,Mary Wells
Leoncavallo: I pagliacci: Intermezzo,Ruggero Leoncavallo
"Sad, Sad Girl And Boy",The Impressions
Travessia,Milton Nascimento
Is It Something You've Got,Tyrone Davis
Home In Castle East,Don Hinson & The Rigamorticians
Having A Party,Sam Cooke
Something In The Air,Thunderclap Newman
A Woman's Love,Carla Thomas
Dance To The Music,Sly & The Family Stone
Walk Right Back,The Everly Brothers
In Dreams,Roy Orbison
First Warning (1966 Album),Jerry Goldsmith
Little Bitty Girl,Bobby Rydell
Gloria,Harry Belafonte
Nothing Can Change This Love,Sam Cooke
Stay With Me,Lorraine Ellison
Mare delle Baleari - Quasi valzer,Benedetto Ghiglia
Cançó de Les Mans - En Directe,Raimon
Vento de Maio,Gilberto Gil
I Can't Get Next To You,The Temptations
Canção a Medo,Quarteto Em Cy
On Campus,Dickie Goodman
There Is,The Dells
Mighty Good Lovin',The Miracles
The Fly,Chubby Checker
You Showed Me,The Turtles
Kommotion,Duane Eddy
One Track Mind,The Knickerbockers
Again to See the Stars,Francy Boland
Studio 69,Alan Hawkshaw
Quero Me Casar Contigo - Versão remasterizada,Roberto Carlos
Little Honda,The Beach Boys
Ain't That Just Like A Woman,Fats Domino
"L'amour d'un garçon - Slow ""The Love Of A Boy""",Françoise Hardy
Manase Naa Yaaro,P. Susheela
Mad Millie,Michel Legrand
Chant des Cavaliers Francs - Thème de Renaud,André Hossein
The Sweetest Thing This Side Of Heaven,Chris Bartley
Multiplication,Bobby Darin
Does Your Mama Know About Me,Bobby Taylor & The Vancouvers
I Know You Better Than That,Bobby Goldsboro
Zaplať,The Matadors
Bring Back The Time,B.J. Thomas
Princesita (Princess) - Remasterizado,Enrique Guzman
Mango Mangüe,Celia Cruz
Love Poems: The Pure Fury / The Renewal / The Sensualists,Theodore Roethke
How Many Tears,Bobby Vee
The Runaway,Lesley Frost
October,Lesley Frost
L'idole des jeunes,Johnny Hallyday
Marinheiro Só - Remastered 2006,Caetano Veloso
Earth Angel,Johnny Tillotson
Change Partners,Antônio Carlos Jobim
Keep On Dancing,The Gentrys
Surfer's Stomp,The Marketts
Chorei A Noite Inteira (The Night Is Over),Jerry Adriani
Girl I Need You,The Artistics
One On The House,Gerald Wilson Orchestra
The Weight,Aretha Franklin
Reach Out I'll Be There,Four Tops
Mesa Para Uno,Vicente Fernández
Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler
Ride The Wild Surf,Jan & Dean
What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels
Titoli 2,Giovanni Fusco
(You Were Made For) All My Love,Jackie Wilson
Tres Pontas,Milton Nascimento
Gli Intoccabili: La ballata di Hank McCain - Soundtrack,Ennio Morricone
If I Didn't Have A Dime (To Play The Jukebox),Gene Pitney
The Coventry Carol,Traditional
Mr. Blue,The Fleetwoods
Les grands voiliers - Goëmons,Jean Prodromidès
Mil Violines,Chucho Avellanet
El Titiritero,Joan Manuel Serrat
Danny Boy,Andy Williams
It Might As Well Rain Until September,Carole King
O Sanctissima (O du fröhliche),Traditional
"Symphony No. 3 in C Minor, Op. 78 ""Organ"": I. Adagio",Camille Saint-Saëns
O Ultimo Tango,Nelson Gonçalves
I Don't Want To Cry,Ruby Winters
The Christmas Song (Merry Christmas To You),Nat King Cole
Bus Stop,The Hollies
É Bom Parar,Francisco Alves
Tema di Martin (Version 2),Maurice Jarre
Des ronds dans l'eau - Remasterisé en 2016,Françoise Hardy
Cançó del Remordiment,Raimon
Dear Hearts And Gentle People,The Springfields
Dabble In Om,Krokodil
Serene,Eric Dolphy
Native Quarter,Jerry Goldsmith
"Non, Non, Non,...",Traditional
Pauvre doudou,Joe Dassin
Jingo,Santana
Monk Time,The Monks
Tuesday Afternoon (Forever Afternoon),The Moody Blues
"Madama Butterfly, Act I: Gran ventura (Butterfly, Coro, Pinkerton, Sharpless, Goro)",Giacomo Puccini
I'm Getting Sentimental Over You,Charles Mingus
Early in the Morning,Lord Invader
Kavidhayil Ezhudhiya,P. Susheela
Só Danço Samba,Sérgio Mendes
These Boots Are Made For Walkin',Nancy Sinatra
Who Do You Love,The Sapphires
The Entertainer,Tony Clarke
Diane,The Bachelors
Do-Wah-Diddy,The Exciters
Antigua,Antônio Carlos Jobim
Alla maniera del free jazz,Benedetto Ghiglia
Downtown,Mrs. Miller
Oh Buck Buck,P. Susheela
No Milk Today,Herman's Hermits
Got A Girl,The Four Preps
You Don't Know Me,Ray Charles
Why Are We Sleeping?,Soft Machine
Remember (Walkin' in the Sand),The Shangri-Las
"Mercy, Mercy, Mercy",The Buckinghams
"Carmen: Act III- ""Ich bin Escamillo - Torero von Granada""",Leipzig Radio Symphony Orchestra
Crying,Jay & The Americans
Malagueña,Connie Francis
Presumida (High Class Baby),Los Teen Tops
Heroes And Villains,The Beach Boys
All Alone Am I,Brenda Lee
I'm Livin' In Shame,Diana Ross & The Supremes
You Don't Know What Love Is,John Coltrane Quartet
A Tamba,Jorge Ben Jor
Wonderful! Wonderful!,The Tymes
Hopeless,Andy Williams
He Touched Me,Barbra Streisand
Three Window Coupe,The Rip Chords
Magic Town,The Vogues
"Lo, How a Rose E'er Blooming - Instrumental",John Fahey
"Tie Me Kangaroo Down, Sport",Rolf Harris
Just A Little Bit,Rosco Gordon
Wonderful World,Sam Cooke
Kind Of A Drag,The Buckinghams
With This Ring,The Platters
She's A Heartbreaker,Gene Pitney
Gracias por el Recuerdo (Thanks for the Memory),Enrique Guzman
One-Way Ticket,Jerry Goldsmith
Nem Mesmo Em Sonho,Leno e Lilian
Fell In Love On Monday,Fats Domino
Kundalini Woman,Maynard Ferguson
Por El Amor De Dios,Javier Solís
If You Ever Leave Me,Jack Jones
So Many Ways,Brook Benton
Crystal Chandelier,Vic Dana
Desperate For A Smoke #2,Jerry Goldsmith
Maria,Roger Williams
Rumors,Johnny Crawford
Un soir d'été,Enrico Macias
"Intermezzo No. 2 in B-Flat Minor, Op. 117 - Andante non troppo e con molta espressione - Remastered",Johannes Brahms
La Última Noche,Eydie Gormé
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann
Cherry Hill Park,Billy Joe Royal
Walk On The Wild Side (Jazz),Elmer Bernstein
Eraiva Un Maaligaiyil,P. Susheela
Footsteps,Steve Lawrence
"Tosca (Sung in German): Act I: Drei Hascher mit einem Wagen … Elig … (Scarpia, Spoletta, Chorus)",Giacomo Puccini
Magic Wand,Don & Juan
"Blech & Aufbau (Bau, Steine & Erden)",Amon Düül
Il Ritorno di Herbert (Version 3),Maurice Jarre
Concrete And Clay,Eddie Rambeau
Maria Tristeza,Gilberto Gil
Cupid,Johnny Rivers
Cosmic Ballad,Perrey and Kingsley
Quan Jo Vaig Nàixer,Raimon
"Madama Butterfly, Act I: Vogliatemi bene, un bene piccolino (Pinkerton, Butterfly)",Giacomo Puccini
Mía,Armando Manzanero
Theme from The Magnificent Seven,Elmer Bernstein
London Life,Johnny Pearson
"Yeh, Yeh",Gerald Wilson Orchestra
Monster Dance Party,Don Hinson & The Rigamorticians
Greenback Dollar,The Kingston Trio
Give My Love A Try,Linda Jones
Xote Melubico,Marinês E Sua Gente
Goodbye Baby (Baby Goodbye),Solomon Burke
Woll'n Heimgehn,Traditional
A Girl Like You,The Young Rascals
Corcovado,Sérgio Mendes
"Jailer, Bring Me Water",Trini Lopez
Un Pajarillo - Remasterizado,Luis Eduardo Aute
Andantino Burlesco,Luis Bacalov
Just Be True,Gene Chandler
Quero Sambar Meu Bem,Tom Zé
Celia,Charles Mingus
Smile,Timi Yuro
Ragamuffin - Short Version (2),Johnny Pearson
That's It - I Quit - I'm Movin' On,Sam Cooke
Clementine,John Zacherle
Heart Of Stone,The Rolling Stones
Duas Contas,Sérgio Ricardo
The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker
Respect,Otis Redding
Que Triste Estoy,Vicente Fernández
The Cage from The Caretakers,Elmer Bernstein
You Lost The Sweetest Boy,Mary Wells
I'm A Believer,The Monkees
Another Saturday Night,Sam Cooke
Don't Break The Heart That Loves You,Connie Francis
"Como Medo, Com Pedro",Gal Costa
Drunkard's Blues,Hank Thompson
Greetings (This Is Uncle Sam),The Monitors
"Por Causa De Você, Menina",Jorge Ben Jor
Brenda,The Cupids
La Mort de L'Avi,Joan Manuel Serrat
La Nit,Raimon
One Fine Day,The Chiffons
Imoye,Celia Cruz
This Time,Troy Shondell
Ballad Of You & Me & Pooneil,Jefferson Airplane
First Taste Of Love,Ben E. King
A Touch of Nonsense,Alan Hawkshaw
She's Coming Home,The Zombies
Rancho da Rosa Encarnada,Gilberto Gil
Never On Sunday,The Chordettes
Daddy's Little Man,O.C. Smith
El Martillo,Victor Jara
"Simple Symphony, Op.4: ""Playful Pizzicato"" from Simple Symphony, Op. 4",Benjamin Britten
Pastures of Plenty,Harry Belafonte
Broken Heart,The Fiestas
Pagliacci (Sung in German): Act II Scene 2: Di fare il segno,Ruggero Leoncavallo
Tom Thumb,Wayne Shorter
Tennessee,Jan & Dean
Femmina - Seq. 15,Carlo Savina
Ask The Lonely,Four Tops
Mean Woman Blues,Roy Orbison
Shoppin' For Clothes,The Coasters
Dirty Water,The Standells
"Promises, Promises",Dionne Warwick
Ding Dong! The Witch Is Dead,The Fifth Estate
Tem Mais Samba,Chico Buarque
Runaround,The Fleetwoods
New New Minglewood Blues - Full Length Version,Grateful Dead
Have A Little Faith,David Houston
Would It Make Any Difference To You,Etta James
Have A Good Time,Sue Thompson
La Caduta Degli Dei (Version 3),Maurice Jarre
Miniland 2,François de Roubaix
"Mr. Walker, It's All Over",Billie Jo Spears
Human,Tommy Hunt
Jam Up Jelly Tight,Tommy Roe
Listen To The Rhythm Of The Chachacha,Julio Gutierrez
Land Of 1000 Dances,Chris Kenner
Sem Ninguém (Nobody Knows),Trio Melodia
She Is Still A Mystery,The Lovin' Spoonful
Love Of My Life,Frank Zappa
In The Midnight Hour,Wilson Pickett
Please Mr. Postman,The Marvelettes
Walrus and the Carpenter,Syd Dale
Pouring Water On A Drowning Man,James Carr
Tema drammatico 2,Giovanni Fusco
Deixei Minha Terra,Marinês E Sua Gente
Yo Quiero Ser,Vicente Fernández
I X Love - Long Version,Charles Mingus
Tempo Feliz (Happy Times),Sérgio Mendes
Don't Worry Baby,The Beach Boys
"In Like Flint: Where The Bad Guys Are Gals - From ""In Like Flint""",Jerry Goldsmith
Two Steps From The Blues,Johnny Winter
"Nutcracker Suite, Op. 71a: Dance of the Sugar Plum Fairy - Andante non troppo",Pyotr Ilyich Tchaikovsky
L'avancée,Vladimir Cosma
Roda,Gilberto Gil
Enlouqueci,Os Originais Do Samba
Whenever She Holds You,Patty Duke
Our World,Johnny Tillotson
Man on the Move,Alan Hawkshaw
Sugar Bee,Cleveland Crochet and Band
Thank You Mr. Poobah,The Paul Butterfield Blues Band
Mi Desgracia,Vicente Fernández
Sharing You,Bobby Vee
Diz Que Fui Por Ai,Nara Leão
Queen Of The House,Jody Miller
"Com Açúcar, Com Afeto",Nara Leão
Tiptoe Bridge,David Lindup
No Me Esperes,Alfredo Zitarrosa
Ebb Tide,The Righteous Brothers
Amor Gitano,La Lupe
He Will Break Your Heart,Jerry Butler
Oración Caribe,Eydie Gormé
Summer Love,Tito Puente
Evil Woman Don't Play Your Games With Me,CROW
"Carmen: Act III - ""Halt ein! halt ein! Jose!""",Leipzig Radio Symphony Orchestra
Zé Paraiba,Ary Lobo
Tung-Tze,Elmer Bernstein
Some Kind Of Wonderful,The Drifters
Confidente de Secundaria - School Confidential (Tema Remasterizado),Los Teen Tops
Close To Cathy,Mike Clifford
Lucia di Lammermoor: Act I: Scene 2: Regnava nel silenzio,Gaetano Donizetti
Media Vuelta,Javier Solís
Let's Fly Away,"Bobby ""Boris"" Pickett"
Leavin' On Your Mind,Patsy Cline
Fool For You,The Impressions
A Taste Of Honey,Tony Bennett
Despeinada,Palito Ortega
"Rigoletto [Acts II & III]: Ah! Piangi, fanciulla, paingi (Rigoletto, Gilda)",Giuseppe Verdi
Volare,Bobby Rydell
The Ballad Of Jed Clampett,Flatt & Scruggs
Jack And Jill,Tommy Roe
Andenu Nede,P. Susheela
Nothing Can Stop Me,Gene Chandler
Gypsy Woman,The Impressions
Easy Lovin',Wade Flemons
Giro,Elis Regina
Close Your Eyes,Peaches & Herb
I Love Everybody,Johnny Winter
The Body,Elmer Bernstein
O Calhambeque (Road Hog) - Versão remasterizada,Roberto Carlos
Pagliacci (Sung in German): Act I Scene 2: Qual fiamma avea nel guardo,Ruggero Leoncavallo
Security,Etta James
Take Good Care Of Her,Adam Wade
Amarga Confissao,Nelson Gonçalves
El 19,Alberto Beltran
"Madama Butterfly (1986 - Remaster), Act I: Viene la sera (Pinkerton/Butterfly/Suzuki)",Giacomo Puccini
Mancada,Gilberto Gil
I've Been Lonely Too Long,The Young Rascals
Faca De Ponta,Ary Lobo
We Could,Al Martino
Percolator (Twist),Billy Joe & The Checkmates
You've Made Me So Very Happy,"Blood, Sweat & Tears"
Dia Blue,Francy Boland
Runnin' Blue,The Doors
"Mi Treque, Treque",Celia Cruz
Paper Doll,Scott Walker
"Samson et Dalila, Op. 47: Bacchanale",Camille Saint-Saëns
I Put A Spell On You,Creedence Clearwater Revival
When My Little Girl Is Smiling,The Drifters
You Put It On Me,B.B. King
All I Could Do Was Cry,Etta James
Second Honeymoon,Michel Legrand
Gaude Felix. Master Cistercium,Traditional
Smile A Little Smile For Me,The Flying Machine
Have I Stayed Too Long,Sonny & Cher
"La fille du régiment / Act 2: ""Tous les trois réunis, quel plaisir mes amis!""",Gaetano Donizetti
Bristol Twistin' Annie,The Dovells
"Maria (Me Perdoe, Maria)",Gilberto Gil
California Girls,The Beach Boys
Elenore,The Turtles
Respect,The Rationals
House For Everyone - Mono Version,Traffic
Ritmo Pa' Mí - Remasterizado,Orquesta Casino De La Playa
What's Easy For Two Is So Hard For One,Mary Wells
"Don Giovanni, K. 527, Act II: ""Questo è il fin""",Wiener Philharmoniker
Le ire di Ursus,Giampiero Boneschi
A-B-C,John Zacherle
Useless Landscape,Antônio Carlos Jobim
Vendedor De Assaí,Ary Lobo
Mambo Simphony - Remasterizado,Orquesta Casino De La Playa
Porque?,Reginaldo Rossi
Free Jazz,Maria Teresa Luciani
Reject of Society,Crass
Yeah !,The Jets
Gotta Find A Way,The Moments
What Shall We Do When We All Go Out?,Mike Seeger
Beautiful Sunday,Daniel Boone
The Man With The Child In His Eyes,Kate Bush
Psychedelic Shack,The Temptations
Tell It Like It Is,Andy Williams
Help,The Damned
Listen Here,Brian Auger & The Trinity
Long Live Rock,The Who
Kaloaloa,Hui Ohana
Águas De Marco,Elis Regina
Hot Line,The Sylvers
Willie And The Hand Jive,Eric Clapton
Grooving Out on Life,Dennis Brown
Greenwood Mississippi,Little Richard
Don't Hide Your Love,Cher
"Yester-Me, Yester-You, Yesterday",Stevie Wonder
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch
Miss You,The Rolling Stones
Funky Man,Kool & The Gang
Make It With You,The Whispers
Lonesome River (feat. Ricky Skaggs & Keith Whitley),Ralph Stanley
This Old Man,Purple Reign
Miss America,Mark Lindsay
Ain't That Loving You (For More Reasons Than One),Luther Ingram
Hot Number,Foxy
Slow Ride,Foghat
"Ghashiram Kotwal, Act 2",Bhaskar Chandavarkar
Sing A Song For Freedom,Frijid Pink
Rock Steady,Aretha Franklin
Early Autumn,Woody Herman & His Orchestra
Rumour Has It,Donna Summer
Blue Bayou,Linda Ronstadt
Nights On Broadway,Bee Gees
Search and Destroy - Iggy Pop Mix,The Stooges
Lady Eleanor,Lindisfarne
Rock And Roll en la Plaza del Pueblo,Tequila
Hooked On A Feeling,Blue Swede
"Pinball Wizard/See Me, Feel Me",The New Seekers
Do What You Wanna Do,Five Flights Up
Right Down The Line,Gerry Rafferty
Macho Man,Village People
I'd Really Love To See You Tonight,England Dan & John Ford Coley
Someday Baby Blues,Sleepy John Estes
How Long,Ace
I Am Somebody,Jimmy James & The Vagabonds
Can The Can,Suzi Quatro
Problem Child,The Damned
Bourgeois Blues,Lead Belly
That's Where The Happy People Go,The Trammps
Light Manufacturing,Tony Kinsey
Walk On,Neil Young
We're On The Right Track,South Shore Commission
Wanderlust,Krisma
7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire
Sing For The Day,Styx
Flight Over Rio,Al Di Meola
After Midnight,Maggie Bell
One Way Or Another,Blondie
¿A Dónde Van?,Silvio Rodríguez
We're All Alone,Rita Coolidge
Pai e Mãe,Gilberto Gil
Crossing No. 9,Norman Blake
Love Me Again,Rita Coolidge
"Money, Money, Money",ABBA
Steal Away,Johnnie Taylor
Rainbow,Francis Lai
Paper Roses,Marie Osmond
Bridget The Midget (The Queen Of The Blues),Ray Stevens
Scènes De Foule Et De Poursuite Pendant Le Carnaval,François Bréant
Stoned To The Bone - Part 1,James Brown
Jingle Jangle,The Archies
For A While,Mary Macgregor
